기준_년분기_코드,상권_코드,당월_매출_금액,연령대_20_매출_금액
20211,3110200,97210470,8103957
20211,3110201,193442994,18477713
20211,3110202,90958187,1886765
20211,3110203,933964237,89013373
20211,3110205,4841506860,1698819086
20211,3110206,1383675132,244805376
20211,3110207,668278356,274361643
20211,3110208,39461217,0
20211,3110210,2518853596,876141765
20211,3110211,2203742915,238956689
20211,3110213,260346524,12156150
20211,3110214,1571256592,770779849
20211,3110215,667813389,305012308
20211,3110216,2503902799,159359717
20211,3110219,8925069832,1151334936
20211,3110220,8142951465,2674315481
20211,3110222,33000000,3236440
20211,3110224,515743346,40436453
20211,3120063,48119161771,7872291576
20211,3120064,16564871584,5247248049
20211,3120065,7492481135,2825827317
20211,3130098,1724582002,581148835
20211,3130099,2290479994,241466133
20211,3130102,70170342,4361294
20211,3130103,294491846,11553237
20212,3110200,121511010,10596977
20212,3110201,197777807,23013487
20212,3110202,105750983,3770807
20212,3110203,628949174,91924208
20212,3110205,5735585265,2072106578
20212,3110206,4588883762,394625663
20212,3110207,958532573,422620398
20212,3110208,71828475,0
20212,3110210,2912631465,1096189064
20212,3110211,1992274665,232266780
20212,3110213,221765617,13203540
20212,3110214,1865392890,926932727
20212,3110215,721279147,351656299
20212,3110216,2816434062,195242069
20212,3110219,9482054339,1310460639
20212,3110220,8724328245,2852673932
20212,3110222,33000000,3145473
20212,3110224,535422077,49320579
20212,3120063,45069037528,6635693231
20212,3120064,19255729630,6696370898
20212,3120065,9179569903,3269078480
20212,3130098,2186065916,856380366
20212,3130099,2437415353,256239790
20212,3130102,14255402,0
20212,3130103,384761265,21766051
20213,3110200,67648735,5471288
20213,3110201,142309587,17704695
20213,3110202,191813324,12868516
20213,3110203,711210212,92823062
20213,3110205,4526996556,1878534606
20213,3110206,4730776790,564098819
20213,3110207,743633720,288800131
20213,3110208,76246746,0
20213,3110210,2656926229,921338245
20213,3110211,2348160052,314789349
20213,3110213,252006272,11957162
20213,3110214,1705095289,849612610
20213,3110215,672999872,334501579
20213,3110216,3245639040,201963817
20213,3110219,9652407612,1370418013
20213,3110220,8341938943,2681108802
20213,3110222,33000000,4565241
20213,3110224,366136510,62446718
20213,3120063,43563464221,6543651802
20213,3120064,18104223936,5921114550
20213,3120065,8309988197,3070686067
20213,3130098,1724662852,658750155
20213,3130099,2715532081,227515600
20213,3130102,11274932,0
20213,3130103,366764399,21971512
20214,3110200,135235851,19643714
20214,3110201,193268790,27171950
20214,3110202,154852550,4571254
20214,3110203,912892690,82554034
20214,3110205,5412773589,2453784760
20214,3110206,4716604740,381097860
20214,3110207,1046840206,467918203
20214,3110208,73989093,0
20214,3110210,3057176077,1114947393
20214,3110211,3128867830,344343489
20214,3110213,281333054,13092028
20214,3110214,1897096130,893245338
20214,3110215,666222508,346942124
20214,3110216,3342357640,214635343
20214,3110219,9540090883,1486607223
20214,3110220,9728210906,3115585334
20214,3110222,33000000,4930131
20214,3110224,645415651,145946215
20214,3120063,46378025864,7914765042
20214,3120064,22044905586,7868862650
20214,3120065,9794537677,3552830188
20214,3130098,2044183987,794493358
20214,3130099,3028623432,262309008
20214,3130102,14771468,0
20214,3130103,367564255,22695776
20221,3110200,114540101,6885487
20221,3110201,181223056,21452145
20221,3110202,169935141,3093846
20221,3110203,605114162,61606091
20221,3110205,4729010666,1793715029
20221,3110206,4247776426,373543218
20221,3110207,820214029,295536384
20221,3110208,40771212,0
20221,3110210,2659050130,849872817
20221,3110211,2711652506,422602379
20221,3110213,85243608,12989901
20221,3110214,1701387302,776372152
20221,3110215,602014495,271578177
20221,3110216,3355586168,184420778
20221,3110219,8158040946,1280251061
20221,3110220,8651996263,2506630343
20221,3110222,33000000,2720130
20221,3110224,717670931,96854572
20221,3120063,29980050687,4260299413
20221,3120064,18259808212,5883630000
20221,3120065,8302987663,2857429063
20221,3130098,2155054225,707006973
20221,3130099,1679311459,181546791
20221,3130102,50372576,0
20221,3130103,194779872,8500410
20222,3110200,121098477,8171283
20222,3110201,329270478,44285413
20222,3110202,154605950,2890074
20222,3110203,590385479,67297966
20222,3110205,6470205083,2561949529
20222,3110206,4482217421,333612990
20222,3110207,1106640130,445234735
20222,3110208,76863613,0
20222,3110210,3806413361,1342967556
20222,3110211,2727137336,291224282
20222,3110213,210280187,13567586
20222,3110214,2362416019,1064636549
20222,3110215,710724679,328372981
20222,3110216,3425567132,172874359
20222,3110219,9132066880,1543649838
20222,3110220,10579323290,3551968468
20222,3110222,33000000,3942147
20222,3110224,1016626176,116630706
20222,3120063,34902018028,5215103792
20222,3120064,24113602645,8467622475
20222,3120065,11092543223,3882592770
20222,3130098,2852614257,1106733227
20222,3130099,1772774346,175095487
20222,3130102,23877423,0
20222,3130103,308483938,5231853
20223,3110200,111815692,15478884
20223,3110201,313594914,24785821
20223,3110202,189036000,4336572
20223,3110203,563579270,52964906
20223,3110205,5981662431,2660491661
20223,3110206,4409515430,368836378
20223,3110207,1119859952,435767396
20223,3110208,80787350,0
20223,3110210,3604573866,1232863834
20223,3110211,2898302499,293482070
20223,3110213,175532205,10295033
20223,3110214,2235610632,1014804808
20223,3110215,742995432,362027080
20223,3110216,3185808251,191361561
20223,3110219,9101359637,1403198467
20223,3110220,10571790947,3461932393
20223,3110222,33000000,4722776
20223,3110224,1109524009,104983347
20223,3120063,32918411690,4389363317
20223,3120064,23300432321,8291703970
20223,3120065,10446258090,3923334462
20223,3130098,2506937102,984317452
20223,3130099,1834524963,153905142
20223,3130102,21297091,411357
20223,3130103,450394741,16831351
20224,3110200,142140124,17825498
20224,3110201,275287183,24920088
20224,3110202,150750060,6520185
20224,3110203,696123851,92664041
20224,3110205,6127744690,2626315288
20224,3110206,1692792223,239845083
20224,3110207,1269909975,468904404
20224,3110208,110019224,0
20224,3110210,3794094716,1334788421
20224,3110211,2919266308,352345526
20224,3110213,183348144,11028593
20224,3110214,2675771791,1213300142
20224,3110215,731339959,333266048
20224,3110216,3581675442,239995669
20224,3110219,9603524724,1492599546
20224,3110220,11092903436,3727072541
20224,3110222,33000000,4692826
20224,3110224,1720162867,139553105
20224,3120063,38849926367,5458820426
20224,3120064,25454240136,9084835265
20224,3120065,11700539299,4144684746
20224,3130098,2326289107,922984750
20224,3130099,2106973514,182367137
20224,3130102,51625347,0
20224,3130103,481186777,24486753
20231,3110200,195858881,10849780
20231,3110201,265971382,24707018
20231,3110202,163535288,9008006
20231,3110203,665065667,72532113
20231,3110205,5164451093,1999416520
20231,3110206,1404094314,164772354
20231,3110207,1040190019,388452687
20231,3110208,79462371,0
20231,3110210,3229584065,1035827776
20231,3110211,2812635195,319962453
20231,3110213,211079280,11227235
20231,3110214,2035365835,879422514
20231,3110215,586214149,245669499
20231,3110216,3317863723,162554816
